,sp_name,鲜重（g）,干重（g),厚度(mm),叶面积(cm2),叶片数,LDMC,SLA,土壤鲜重(g),土壤干重(g),土壤含水率（%）,土壤电导率
固定沙丘,白刺,0.28,0.06,0.552,1.527,20,21.42857143,25.45,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.42,0.09,0.67,3.668,20,21.42857143,40.75555556,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.34,0.09,0.5115,2.19672,20,26.47058824,24.408,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.43,0.13,0.5845,1.7001,20,30.23255814,13.07769231,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.39,0.15,0.4335,3.6787,20,38.46153846,24.52466667,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.24,0.07,0.693,0.347,10,29.16666667,4.957142857,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.41,0.09,0.8616,0.608,10,21.95121951,6.755555556,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.27,0.08,0.8509,0.477,10,29.62962963,5.9625,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.19,0.06,0.7669,0.369,10,31.57894737,6.15,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.26,0.07,0.8607,0.351,10,26.92307692,5.014285714,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.41,0.2,0.614,1.116,10,48.7804878,5.58,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.3,0.14,0.589,0.699,10,46.66666667,4.992857143,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.57,0.21,0.645,1.49,10,36.84210526,7.095238095,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.25,0.12,0.455,0.998,10,48,8.316666667,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.33,0.18,0.593,0.861,10,54.54545455,4.783333333,48.21,47.456,1.202583,0.21
路边,白刺,0.51,0.18,0.5075,0.463,20,35.29411765,2.572222222,38.188,36.495,3.884918,0.75
路边,白刺,0.53,0.13,0.516,0.473,20,24.52830189,3.638461538,38.188,36.495,3.884918,0.75
路边,白刺,0.27,0.09,0.4115,0.328,20,33.33333333,3.644444444,38.188,36.495,3.884918,0.75
路边,白刺,0.85,0.29,0.5915,0.771,20,34.11764706,2.65862069,38.188,36.495,3.884918,0.75
路边,白刺,0.67,0.17,0.4785,0.690 ,20,25.37313433,4.058823529,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.03,0.26,0.4115,1.025,20,25.24271845,3.942307692,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.33,0.42,0.5275,1.068,20,31.57894737,2.542857143,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.24,0.42,0.4665,1.085,20,33.87096774,2.583333333,38.188,36.495,3.884918,0.75
